Dzien Miesiac Rok Godzina Minuta Sekunda Calkowite_CNR[mV] Odbite_CNR[mV] Dl_atmosfery_CNR[mV] Dl_ziemi_CNR[mV] Temperatura
24 10 2019 1 24 9 -0.05050 0.02510 -0.41950 -0.07760 11.13200 
24 10 2019 1 24 27 -0.05170 0.02200 -0.41760 -0.07550 11.12500 
24 10 2019 1 24 45 -0.05030 0.01610 -0.41040 -0.06860 11.12200 
24 10 2019 1 25 2 -0.03900 0.01890 -0.40540 -0.06100 11.13900 
24 10 2019 1 25 20 -0.03760 0.02350 -0.40750 -0.06010 11.13600 
24 10 2019 1 25 38 -0.03650 0.02610 -0.40810 -0.06010 11.13400 
24 10 2019 1 25 56 -0.03340 0.02980 -0.40780 -0.05910 11.14200 
24 10 2019 1 26 14 -0.03260 0.03190 -0.40380 -0.05990 11.14500 
24 10 2019 1 26 31 -0.03340 0.03200 -0.40520 -0.05730 11.16300 
24 10 2019 1 26 49 -0.02970 0.03580 -0.40490 -0.05890 11.17800 
24 10 2019 1 27 7 -0.02690 0.03650 -0.41080 -0.05810 11.18700 
24 10 2019 1 27 25 -0.02550 0.03930 -0.41220 -0.05930 11.19500 
24 10 2019 1 27 43 -0.02660 0.04020 -0.41620 -0.06720 11.19900 
24 10 2019 1 28 0 -0.02660 0.03670 -0.41920 -0.06790 11.21000 
24 10 2019 1 28 18 -0.02930 0.03660 -0.43350 -0.07860 11.20600 
24 10 2019 1 28 36 -0.03770 0.03130 -0.43540 -0.08270 11.18700 
24 10 2019 1 28 54 -0.04780 0.02390 -0.43420 -0.08320 11.16700 
24 10 2019 1 29 11 -0.05550 0.01740 -0.42550 -0.08170 11.14500 
24 10 2019 1 29 29 -0.05740 0.01250 -0.41450 -0.07410 11.14500 
24 10 2019 1 29 47 -0.05300 0.01050 -0.40660 -0.06790 11.15400 
24 10 2019 1 30 5 -0.04300 0.01340 -0.40470 -0.06180 11.17100 
24 10 2019 1 30 23 -0.03730 0.01620 -0.40850 -0.06310 11.18000 
24 10 2019 1 30 40 -0.03320 0.02270 -0.41190 -0.07080 11.18100 
24 10 2019 1 30 58 -0.03490 0.02310 -0.40960 -0.06840 11.18700 
24 10 2019 1 31 16 -0.03490 0.02400 -0.40800 -0.06300 11.19500 
24 10 2019 1 31 34 -0.03210 0.02840 -0.40950 -0.06360 11.20700 
24 10 2019 1 31 52 -0.03130 0.03070 -0.40880 -0.06170 11.22100 
24 10 2019 1 32 9 -0.03500 0.03200 -0.40750 -0.06090 11.22600 
24 10 2019 1 32 27 -0.03210 0.03180 -0.40510 -0.05840 11.25100 
24 10 2019 1 32 45 -0.02690 0.03950 -0.40620 -0.06060 11.26400 
24 10 2019 1 33 3 -0.02880 0.04030 -0.41270 -0.06290 11.26500 
24 10 2019 1 33 21 -0.03180 0.03960 -0.41240 -0.06180 11.26900 
24 10 2019 1 33 38 -0.03360 0.04060 -0.41750 -0.06370 11.27300 
24 10 2019 1 33 56 -0.03230 0.04530 -0.42250 -0.07210 11.26700 
24 10 2019 1 34 14 -0.03630 0.04440 -0.42020 -0.07650 11.27000 
24 10 2019 1 34 32 -0.04130 0.03880 -0.41820 -0.07360 11.26900 
24 10 2019 1 34 49 -0.04160 0.03880 -0.42020 -0.07320 11.26900 
24 10 2019 1 35 7 -0.04460 0.03820 -0.42290 -0.07690 11.27100 
24 10 2019 1 35 25 -0.04680 0.03830 -0.42570 -0.08090 11.26100 
24 10 2019 1 35 43 -0.04800 0.03770 -0.42410 -0.08500 11.26500 
24 10 2019 1 36 1 -0.05170 0.03510 -0.42910 -0.08830 11.24300 
